Date,Open,High,Low,Close,Volume,OpenInt
2007-05-09,110.34,111.62,110.15,111.59,27898,0
2007-05-10,111.4,111.93,109.79,110.42,15694,0
2007-05-11,110.23,113.07,110.23,112.26,9682,0
2007-05-14,112.37,112.59,111.13,111.29,11051,0
2007-05-15,111.16,111.9,110.31,110.31,5436,0
2007-05-16,111.13,111.59,110,111.59,10402,0
2007-05-17,110.98,111.18,110.26,110.93,5436,0
2007-05-18,110.51,110.56,109.51,110.56,6732,0
2007-05-21,110.2,111.52,110.2,110.95,10870,0
2007-05-22,111.52,113.05,111.4,112.37,19726,0
2007-05-23,114.17,114.85,113.24,113.46,17818,0
2007-05-24,114.2,114.32,111.81,112.55,21885,0
2007-05-25,112.79,113.21,112.62,112.96,5724,0
2007-05-29,114.32,114.65,113.4,113.96,4715,0
2007-05-30,112.65,114.26,112.65,113.91,19690,0
2007-05-31,115.45,115.45,114.91,115.34,3781,0
2007-06-01,115.42,115.59,114.73,115.45,20158,0
2007-06-04,115.71,116.81,115.65,116.78,9901,0
2007-06-05,116.9,117.73,116.07,117.73,7090,0
2007-06-06,116.4,116.4,114.56,114.73,7019,0
2007-06-07,113.59,113.68,111.4,111.67,27213,0
2007-06-08,111.67,112.82,111.13,112.68,3526,0
2007-06-11,112.79,113.02,111.87,112.32,6802,0
2007-06-12,111.73,111.98,110.42,110.68,19978,0
2007-06-13,111.55,113.24,111.52,113.15,9827,0
2007-06-14,114.45,115.56,114.45,115.29,10295,0
2007-06-15,117.43,117.7,117.04,117.69,11268,0
2007-06-18,118.49,118.49,117.43,117.57,4067,0
2007-06-19,118.02,119.46,116.95,117.37,5687,0
2007-06-20,117.96,118.24,116.69,117.15,9288,0
2007-06-21,116.3,117.21,115.87,117.21,2772,0
2007-06-22,117.04,117.31,116.4,116.9,3563,0
2007-06-25,116.4,116.87,115.51,115.92,12888,0
2007-06-26,116.27,116.43,115.56,115.9,15837,0
2007-06-27,115.29,117.37,115.29,116.95,17170,0
2007-06-28,118.35,119.46,118.24,118.87,4248,0
2007-06-29,118.35,120.28,118.35,119.65,10907,0
2007-07-02,122.24,123.22,122.12,123.22,8855,0
2007-07-03,124.6,136.82,124.31,125.15,21383,0
2007-07-05,124.87,125.26,123.95,124.73,14794,0
2007-07-06,124.87,125.87,124.84,125.84,13355,0
2007-07-09,127.93,129.45,127.8,129.18,28581,0
2007-07-10,130.58,130.58,127.8,127.88,24658,0
2007-07-11,128.42,128.84,127.26,128.84,13822,0
2007-07-12,129.18,130.43,128.84,130.43,15371,0
2007-07-13,130.58,130.81,129.23,130.65,20483,0
2007-07-16,130.58,130.84,129.15,129.51,40532,0
2007-07-17,133.35,133.35,127.99,128.18,13787,0
2007-07-18,127.38,127.77,126.26,127.35,17278,0
2007-07-19,127.8,129.84,127.8,129.79,20446,0
2007-07-20,129,129,126.94,127.54,12922,0
2007-07-23,128.57,128.68,127.62,128.38,15802,0
2007-07-24,127.38,127.96,124.48,125.48,27573,0
2007-07-25,126.12,126.68,123.05,124.7,6660,0
2007-07-26,121.12,123.07,115.98,120.15,38696,0
2007-07-27,120.56,121.95,106.99,120.56,21885,0
2007-07-30,120.98,124.28,120.95,123.65,23073,0
2007-07-31,126.12,126.21,122.48,123.02,17314,0
2007-08-01,122.26,122.93,119.04,122.93,13068,0
2007-08-02,122.93,124.18,121.06,122.24,6802,0
2007-08-03,123.63,123.63,118.51,118.57,8495,0
2007-08-06,119.46,120.02,116.1,118.87,15477,0
2007-08-07,118.49,121.68,114.73,121.41,3887,0
2007-08-08,123.35,128.86,123.35,127.6,18177,0
2007-08-09,124.73,127.15,123.65,125.29,6947,0
2007-08-10,122.8,123.95,121.35,122.24,5651,0
2007-08-13,123.07,123.07,119.37,120.31,6515,0
2007-08-14,120.98,120.98,116.9,116.9,9108,0
2007-08-15,114.4,115.53,111.87,111.87,4607,0
2007-08-16,109.18,110.84,103.34,110.34,40064,0
2007-08-17,113.07,122.24,109.45,110.28,8962,0
2007-08-20,113.34,113.49,112.07,113.02,7019,0
2007-08-21,114.17,114.37,112.82,113.65,10835,0
2007-08-22,116.4,118.08,116.12,116.81,7559,0
2007-08-23,117.93,117.93,111.81,117.23,6480,0
2007-08-24,118.78,120.93,117.76,120.85,5796,0
2007-08-27,120.02,120.26,118.44,119.28,4788,0
2007-08-28,117.73,118.08,114.23,114.73,8530,0
2007-08-29,116.4,117.9,115.68,117.9,3060,0
2007-08-30,117.37,119.14,117.37,118.21,2592,0
2007-08-31,121.68,122.24,120.23,121.63,9862,0
2007-09-04,122.57,124.93,122.24,124.48,2087,0
2007-09-05,122.63,122.74,121.43,121.9,5687,0
2007-09-06,122.8,123.4,122.15,122.87,3563,0
2007-09-07,120.76,121.54,118.11,119.46,19978,0
2007-09-10,120.7,120.7,118.08,119.34,5580,0
2007-09-11,119.46,121.27,119.46,120.98,2987,0
2007-09-12,121.12,121.71,120.15,120.46,4607,0
2007-09-13,120.85,121.09,120.15,120.53,5436,0
2007-09-14,119.54,121.43,119.54,121.35,3887,0
2007-09-17,120.43,120.43,118.89,119.73,3671,0
2007-09-18,120.56,124.34,119.7,123.43,6120,0
2007-09-19,126.12,126.21,124.6,124.6,37833,0
