Date,Open,High,Low,Close,Volume,OpenInt
2010-07-21,24.333,24.333,23.946,23.946,43321,0
2010-07-22,24.644,24.644,24.362,24.487,18031,0
2010-07-23,24.759,24.759,24.314,24.507,8897,0
2010-07-26,24.624,24.624,24.449,24.595,19443,0
2010-07-27,24.477,24.517,24.431,24.517,8456,0
2010-07-28,24.477,24.517,24.352,24.431,4967,0
2010-07-29,24.527,24.527,24.256,24.256,1238,0
2010-07-30,24.228,24.333,24.228,24.333,618,0
2010-08-02,24.916,24.926,24.664,24.839,7161,0
2010-08-03,24.966,25.069,24.966,25.042,11516,0
2010-08-04,25.069,25.069,25.069,25.069,513,0
2010-08-05,25.118,25.118,25.118,25.118,513,0
2010-08-06,24.537,24.926,24.537,24.926,720,0
2010-08-09,25.207,25.429,25.207,25.265,5620,0
2010-08-10,25.285,25.285,25.285,25.285,513,0
2010-08-11,24.401,24.401,24.401,24.401,101,0
2010-08-12,24.276,24.276,24.276,24.276,1032,0
2010-08-13,24.401,24.401,24.401,24.401,101,0
2010-08-16,24.507,24.507,24.467,24.467,3094,0
2010-08-17,24.789,24.966,24.789,24.966,6704,0
2010-08-18,25.013,25.109,25.013,25.109,587,0
2010-08-19,24.966,24.966,24.966,24.966,513,0
2010-08-20,24.537,24.537,24.517,24.527,1238,0
2010-08-23,24.557,24.557,24.557,24.557,206,0
2010-08-24,24.14,24.198,24.14,24.198,3920,0
2010-08-25,24.091,24.111,24.091,24.111,720,0
2010-08-26,24.352,24.381,24.238,24.238,7736,0
2010-08-27,24.333,24.487,24.188,24.487,10547,0
2010-08-30,24.517,24.517,24.517,24.517,309,0
2010-08-31,24.527,24.567,24.507,24.567,1057,0
2010-09-01,24.888,25.158,24.888,25.158,1545,0
2010-09-02,25.236,25.236,25.236,25.236,101,0
2010-09-03,25.507,25.507,25.429,25.429,4359,0
2010-09-07,25.429,25.429,25.429,25.429,101,0
2010-09-08,25.556,25.651,25.497,25.497,4127,0
2010-09-09,25.708,25.708,25.708,25.708,824,0
2010-09-10,25.806,25.806,25.708,25.747,1960,0
2010-09-13,26.039,26.244,26.039,26.244,216,0
2010-09-14,26.312,26.35,26.312,26.312,1244,0
2010-09-15,26.408,26.437,26.399,26.437,1545,0
2010-09-16,26.486,26.486,26.486,26.486,206,0
2010-09-17,26.389,26.408,26.389,26.408,568,0
2010-09-20,26.893,26.96,26.893,26.96,513,0
2010-09-21,26.816,26.903,26.816,26.903,441,0
2010-09-22,26.786,26.866,26.69,26.737,31669,0
2010-09-23,26.999,26.999,26.747,26.846,4898,0
2010-09-24,26.933,27.076,26.933,27.076,15988,0
2010-09-27,27.242,27.301,27.223,27.301,11244,0
2010-09-28,27.223,27.397,27.223,27.36,7428,0
2010-09-29,27.397,27.456,27.369,27.456,103201,0
2010-09-30,27.504,27.504,27.34,27.35,5076,0
2010-10-01,27.436,27.436,27.436,27.436,5158,0
2010-10-04,27.874,27.874,27.145,27.194,22136,0
2010-10-05,27.466,27.786,27.466,27.776,71865,0
2010-10-06,27.874,27.874,27.639,27.698,4961,0
2010-10-07,27.718,27.718,27.523,27.523,3457,0
2010-10-08,27.59,27.688,27.59,27.649,1092,0
2010-10-11,27.815,27.815,27.756,27.756,824,0
2010-10-12,27.766,27.883,27.582,27.883,2037,0
2010-10-13,28.278,28.278,28.268,28.268,1213,0
2010-10-14,28.24,28.24,27.893,28.078,3851,0
2010-10-15,27.903,27.903,27.883,27.893,791,0
2010-10-18,27.912,27.912,27.912,27.912,513,0
2010-10-19,27.436,27.533,27.34,27.34,1960,0
2010-10-20,27.708,27.824,27.708,27.824,618,0
2010-10-21,28.019,28.155,28.019,28.155,436,0
2010-10-22,28.115,28.598,28.115,28.598,513,0
2010-10-25,28.783,28.783,28.278,28.288,3958,0
2010-10-26,27.951,28.019,27.941,28.009,1069,0
