Date,Open,High,Low,Close,Volume,OpenInt
2015-02-13,22.273,22.273,22.202,22.248,4215,0
2015-02-17,22.178,22.379,22.108,22.258,6870,0
2015-02-18,22.108,22.193,22.108,22.193,1741,0
2015-02-19,22.133,22.161,22.081,22.161,2261,0
2015-02-20,22.062,22.161,22.002,22.161,9814,0
2015-02-23,22.108,22.161,22.045,22.081,7579,0
2015-02-24,22.239,22.282,22.239,22.266,10487,0
2015-02-25,22.354,22.354,22.345,22.354,2052,0
2015-02-26,22.072,22.072,21.984,22.053,3307,0
2015-02-27,22.161,22.282,22.02,22.229,18032,0
2015-03-02,22.186,22.266,22.161,22.161,3649,0
2015-03-03,22.161,22.178,22.142,22.142,4104,0
2015-03-04,21.94,21.957,21.845,21.957,3876,0
2015-03-05,22.037,22.089,21.976,21.984,912,0
2015-03-06,21.685,21.685,21.449,21.449,4674,0
2015-03-09,21.544,21.642,21.544,21.544,1253,0
2015-03-10,21.196,21.196,21.133,21.133,799,0
2015-03-11,21.056,21.056,21.056,21.056,340,0
2015-03-13,21.116,21.116,21.116,21.116,112,0
2015-03-17,21.327,21.344,21.327,21.344,570,0
2015-03-18,21.379,21.808,21.379,21.808,1368,0
2015-03-20,21.853,21.853,21.853,21.853,112,0
2015-03-23,21.853,21.853,21.853,21.853,112,0
2015-03-24,22.202,22.202,22.202,22.202,112,0
2015-03-25,22.082,22.082,22.082,22.082,568,0
2015-03-30,22.012,22.012,22.012,22.012,454,0
2015-03-31,21.782,21.985,21.782,21.862,7497,0
2015-04-01,21.967,21.967,21.967,21.967,112,0
2015-04-02,21.977,22.012,21.977,22.012,228,0
2015-04-06,22.187,22.187,22.187,22.187,1022,0
2015-04-07,22.222,22.222,22.222,22.222,232,0
2015-04-08,22.231,22.539,22.231,22.389,4089,0
2015-04-10,22.409,22.409,22.409,22.409,112,0
2015-04-13,22.425,22.452,22.425,22.425,339,0
2015-04-14,22.478,22.478,22.478,22.478,112,0
2015-04-15,22.628,22.628,22.558,22.558,4512,0
2015-04-16,22.803,22.803,22.803,22.803,149,0
2015-04-17,22.443,22.661,22.443,22.468,908,0
2015-04-20,22.468,22.468,22.468,22.468,1,0
2015-04-23,22.69,22.803,22.69,22.803,1248,0
2015-04-24,22.803,22.803,22.803,22.803,112,0
2015-04-27,23.155,23.155,23.155,23.155,228,0
2015-04-29,23.155,23.155,23.155,23.155,112,0
2015-05-01,23.155,23.155,23.155,23.155,112,0
2015-05-04,23.041,23.041,23.041,23.041,112,0
2015-05-05,22.848,22.848,22.584,22.584,1930,0
2015-05-13,22.829,22.829,22.784,22.784,680,0
2015-05-15,23.103,23.103,23.103,23.103,172,0
2015-05-18,23.087,23.087,23.087,23.087,228,0
2015-05-26,23.087,23.087,23.087,23.087,61,0
2015-05-27,22.593,22.768,22.593,22.768,339,0
2015-05-28,22.743,22.743,22.671,22.706,1000,0
2015-05-29,22.681,22.681,22.645,22.645,339,0
2015-06-02,22.743,22.743,22.743,22.743,1135,0
2015-06-04,22.319,22.619,22.319,22.319,228,0
2015-06-05,22.319,22.319,22.319,22.319,112,0
2015-06-09,21.826,21.897,21.826,21.897,415,0
2015-06-10,22.109,22.153,22.109,22.153,669,0
2015-06-11,22.143,22.172,22.143,22.162,454,0
2015-06-16,22.162,22.162,22.162,22.162,112,0
2015-06-18,22.162,22.162,22.162,22.162,228,0
2015-06-19,21.924,21.924,21.924,21.924,112,0
2015-06-22,21.924,21.924,21.924,21.924,112,0
2015-06-23,22.558,22.558,22.512,22.512,472,0
2015-06-24,22.463,22.463,22.437,22.437,225,0
2015-06-26,22.437,22.437,22.437,22.437,111,0
2015-06-29,22.437,22.437,22.437,22.437,111,0
2015-06-30,22.437,22.437,22.437,22.437,1,0
2015-07-01,21.866,21.866,21.705,21.705,449,0
2015-07-02,21.705,21.705,21.705,21.705,111,0
2015-07-06,21.483,21.483,21.483,21.483,335,0
2015-07-07,21.483,21.483,21.483,21.483,111,0
2015-07-10,21.483,21.483,21.483,21.483,111,0
2015-07-13,21.963,21.963,21.936,21.936,1345,0
2015-07-14,21.936,21.954,21.936,21.954,791,0
2015-07-20,21.954,21.954,21.954,21.954,111,0
2015-07-21,21.982,21.982,21.982,21.982,111,0
2015-07-22,21.679,21.679,21.543,21.543,335,0
2015-07-23,21.455,21.537,21.455,21.537,1345,0
2015-07-24,21.41,21.41,21.384,21.384,1120,0
2015-07-27,21.355,21.355,21.267,21.322,2690,0
2015-07-28,21.332,21.332,21.332,21.332,111,0
2015-07-29,21.475,21.475,21.475,21.475,1456,0
2015-07-31,21.607,21.686,21.483,21.483,1008,0
2015-08-03,21.483,21.483,21.483,21.483,9,0
2015-08-06,21.134,21.143,21.134,21.134,2017,0
2015-08-07,21.134,21.134,21.134,21.134,111,0
2015-08-11,21.143,21.232,21.143,21.232,864,0
2015-08-12,21.348,21.365,21.348,21.365,335,0
2015-08-13,21.465,21.465,21.465,21.465,1008,0
2015-08-14,21.365,21.365,21.365,21.365,225,0
2015-08-19,21.161,21.161,20.973,20.973,897,0
2015-08-21,20.457,20.457,20.457,20.457,111,0
2015-08-24,20.457,20.457,20.457,20.457,10,0
2015-08-26,19.733,19.733,19.733,19.733,111,0
2015-08-27,20.134,20.134,20.134,20.134,449,0
2015-09-01,20.134,20.134,20.134,20.134,111,0
2015-09-04,19.749,19.749,19.749,19.749,111,0
2015-09-09,20.491,20.491,20.162,20.162,784,0
2015-09-10,20.09,20.09,20.082,20.09,335,0
2015-09-11,19.921,19.929,19.885,19.929,784,0
2015-09-14,19.929,19.929,19.929,19.929,111,0
2015-09-15,19.841,19.841,19.841,19.841,111,0
2015-09-16,19.841,19.841,19.841,19.841,111,0
2015-09-17,20.277,20.286,20.277,20.286,335,0
2015-09-18,20.376,20.376,20.376,20.376,111,0
2015-09-23,20.376,20.376,20.376,20.376,111,0
2015-09-24,19.653,19.743,19.645,19.743,554,0
2015-09-25,19.961,19.961,19.961,19.961,110,0
