Date,Open,High,Low,Close,Volume,OpenInt
2007-04-10,62.209,62.369,62.154,62.352,42050,0
2007-04-11,62.284,62.395,62.176,62.183,105965,0
2007-04-12,62.201,62.218,62.12,62.176,93833,0
2007-04-13,62.183,62.209,62.027,62.078,21626,0
2007-04-16,62.145,62.145,62.105,62.138,63313,0
2007-04-17,62.284,62.291,62.236,62.291,30757,0
2007-04-18,62.361,62.426,62.361,62.413,36522,0
2007-04-19,62.454,62.454,62.361,62.386,71721,0
2007-04-20,62.404,62.42,62.326,62.369,38686,0
2007-04-23,62.386,62.512,62.336,62.454,51903,0
2007-04-24,62.478,62.57,62.267,62.553,93111,0
2007-04-25,62.512,62.611,62.478,62.503,317410,0
2007-04-26,62.47,62.47,62.361,62.369,82181,0
2007-04-27,62.386,62.395,62.326,62.352,53820,0
2007-04-30,62.503,62.563,62.478,62.563,43133,0
2007-05-01,62.463,62.478,62.326,62.42,65839,0
2007-05-02,62.463,62.495,62.395,62.426,34717,0
2007-05-03,62.426,62.426,62.201,62.386,40609,0
2007-05-04,62.47,62.503,62.404,62.436,23063,0
2007-05-07,62.454,62.587,62.436,62.478,162786,0
2007-05-08,62.553,62.563,62.426,62.487,40846,0
2007-05-09,62.544,62.544,62.395,62.413,60309,0
2007-05-10,62.413,62.47,62.413,62.47,50457,0
2007-05-11,62.544,62.544,62.369,62.386,45896,0
2007-05-14,62.404,62.404,62.299,62.345,686245,0
2007-05-15,62.395,62.404,62.299,62.317,37963,0
2007-05-16,62.317,62.377,62.291,62.345,67998,0
2007-05-17,62.284,62.299,62.227,62.249,51298,0
2007-05-18,62.218,62.218,62.096,62.105,74728,0
2007-05-21,62.112,62.191,62.052,62.183,59351,0
2007-05-22,62.183,62.191,62.061,62.087,59833,0
2007-05-23,62.105,62.12,61.97,62.035,56706,0
2007-05-24,62.012,62.044,61.895,62.027,46372,0
2007-05-25,61.996,62.044,61.989,62.035,25349,0
2007-05-29,61.962,61.989,61.895,61.954,33519,0
2007-05-30,62.052,62.069,61.98,62.012,42290,0
2007-05-31,62.012,62.012,61.877,61.962,62714,0
2007-06-01,61.68,61.68,61.586,61.604,101995,0
2007-06-04,61.647,61.68,61.595,61.672,34240,0
2007-06-05,61.629,61.663,61.529,61.57,44934,0
2007-06-06,61.547,61.647,61.538,61.629,223335,0
2007-06-07,61.403,61.403,61.104,61.195,90710,0
2007-06-08,61.113,61.201,61.022,61.187,75326,0
2007-06-11,61.121,61.195,61.079,61.121,92633,0
2007-06-12,60.997,60.997,60.794,60.829,487053,0
2007-06-13,60.845,60.988,60.777,60.962,112695,0
2007-06-14,60.945,61.022,60.877,60.877,131912,0
2007-06-15,61.052,61.187,61.029,61.187,130470,0
2007-06-18,61.18,61.268,61.096,61.121,72444,0
2007-06-19,61.335,61.488,61.268,61.411,88182,0
2007-06-20,61.342,61.351,61.113,61.113,84458,0
2007-06-21,61.26,61.268,61.096,61.148,46255,0
2007-06-22,61.096,61.319,61.062,61.236,67034,0
2007-06-25,61.403,61.47,61.294,61.403,102718,0
2007-06-26,61.436,61.47,61.342,61.376,195950,0
2007-06-27,61.547,61.547,61.403,61.428,254696,0
2007-06-28,61.454,61.454,61.268,61.342,89266,0
2007-06-29,61.454,61.555,61.428,61.555,467587,0
2007-07-02,61.403,61.529,61.302,61.512,89979,0
