Date,Open,High,Low,Close,Volume,OpenInt
1999-03-10,45.722,45.75,44.967,45.665,11700414,0
1999-03-11,45.994,46.26,44.988,45.88,21670048,0
1999-03-12,45.721,45.749,44.406,44.77,19553768,0
1999-03-15,45.101,46.103,44.625,46.052,14245348,0
1999-03-16,46.253,46.643,45.749,46.447,10971066,0
1999-03-17,46.443,46.5,45.969,46.106,8867842,0
1999-03-18,46.055,47.033,46.042,47.003,10843416,0
1999-03-19,47.623,47.623,45.775,45.806,16013553,0
1999-03-22,45.992,46.102,45.156,45.24,11239060,0
1999-03-23,44.991,45.16,43.567,43.65,24517597,0
1999-03-24,44.045,45.164,43.374,45.136,18890150,0
1999-03-25,45.829,46.776,45.529,46.776,18192179,0
1999-03-26,46.388,46.919,46.079,46.276,18465368,0
1999-03-29,46.837,47.983,46.554,47.955,11437183,0
1999-03-30,47.892,48.286,47.416,47.616,11050702,0
1999-03-31,48.398,48.451,46.774,46.916,18467527,0
1999-04-01,48.291,48.346,47.115,47.898,19492523,0
1999-04-05,48.675,49.702,48.375,49.63,12741906,0
1999-04-06,49.568,50.272,49.153,49.725,16825412,0
1999-04-07,50.187,50.298,48.146,49.207,26669362,0
1999-04-08,49.124,49.841,48.116,49.602,17786224,0
1999-04-09,49.514,50.014,49.376,49.905,11064510,0
1999-04-12,48.737,49.911,48.68,49.573,24453334,0
1999-04-13,49.885,49.995,48.515,48.906,22279128,0
1999-04-14,49.522,49.574,46.96,47.23,47531425,0
1999-04-15,47.392,47.946,45.718,47.869,39476014,0
1999-04-16,47.755,47.755,46.22,46.475,38633167,0
1999-04-19,46.775,47.168,43.824,44.289,43527134,0
1999-04-20,44.094,45.66,43.679,45.296,38946837,0
1999-04-21,45.714,47.558,45.1,47.53,24470447,0
1999-04-22,47.982,48.959,47.667,48.822,30485705,0
1999-04-23,48.565,49.829,48.066,49.461,15799577,0
1999-04-26,49.796,50.972,49.639,50.601,12124153,0
1999-04-27,50.973,51.224,49.195,49.83,36863308,0
1999-04-28,49.413,49.575,47.908,48.121,17167936,0
1999-04-29,47.893,48.173,46.721,47.726,42827866,0
1999-04-30,48.402,48.652,46.331,48.04,34208333,0
1999-05-03,47.896,48.09,46.984,47.782,24847266,0
1999-05-04,47.867,48.622,46.748,47.03,34507741,0
1999-05-05,47.059,48.453,45.632,48.453,28276439,0
1999-05-06,48.014,48.433,46.252,46.699,33933343,0
1999-05-07,47.115,47.509,46.108,47.369,36745877,0
1999-05-10,47.671,48.162,47.112,47.841,23717274,0
1999-05-11,48.227,48.845,47.952,48.593,19684582,0
1999-05-12,48.822,49.769,47.391,49.602,27973874,0
1999-05-13,49.992,50.078,48.456,48.679,22060664,0
1999-05-14,47.727,48.289,47.391,47.753,27298411,0
1999-05-17,47.335,48.761,46.869,48.612,22157913,0
1999-05-18,48.57,48.853,47.848,48.407,20725560,0
1999-05-19,48.6,49.101,47.846,49.074,17858852,0
1999-05-20,49.172,49.172,47.644,47.716,13413785,0
1999-05-21,47.871,48.012,47.034,47.284,24508348,0
1999-05-24,47.366,47.447,45.771,46.078,21403813,0
1999-05-25,46.026,46.693,44.375,44.571,39747623,0
1999-05-26,45.158,45.995,43.757,45.816,59878247,0
1999-05-27,45.629,46.435,45.044,45.769,52193336,0
1999-05-28,46.058,46.782,45.473,46.531,29005066,0
1999-06-01,46.443,46.665,45.244,45.495,15566632,0
1999-06-02,45.473,46.504,44.332,46.267,26828630,0
1999-06-03,46.614,46.614,45.325,45.608,24931592,0
1999-06-04,45.942,47.163,45.942,47.003,29045789,0
1999-06-07,47.334,48.282,47.227,47.985,25701022,0
1999-06-08,48.088,48.315,46.535,46.776,18194416,0
1999-06-09,46.945,47.691,46.917,47.56,18752863,0
1999-06-10,47.062,47.338,46.454,47.02,21005612,0
1999-06-11,47.337,47.384,45.883,46.305,37053044,0
1999-06-14,46.471,46.471,45.32,45.43,31619585,0
1999-06-15,45.544,46.38,45.411,46.106,20459330,0
1999-06-16,47.261,48.482,47.203,48.482,33679540,0
1999-06-17,47.847,49.241,47.847,49.016,36403081,0
1999-06-18,48.563,49.378,48.484,49.234,12061658,0
1999-06-21,49.573,50.74,49.493,50.715,23628643,0
1999-06-22,50.418,51.06,49.19,49.19,24292742,0
1999-06-23,49.197,50.081,48.879,49.959,21484821,0
1999-06-24,49.941,49.968,48.738,48.971,33521219,0
1999-06-25,49.299,49.688,48.459,48.906,19312363,0
1999-06-28,49.322,50.132,48.92,50.063,17145734,0
1999-06-29,50.021,50.948,49.774,50.752,20128272,0
1999-06-30,50.8,53.598,50.202,51.536,43537331,0
1999-07-01,51.698,52.177,50.805,51.883,15258117,0
1999-07-02,51.873,52.596,51.873,52.541,7384313,0
1999-07-06,52.817,53.346,51.921,52.202,19669370,0
1999-07-07,52.175,52.512,51.81,52.289,23527814,0
1999-07-08,52.289,53.199,52.031,52.984,25104708,0
1999-07-09,53.178,53.568,52.785,53.514,9409294,0
1999-07-12,53.712,53.994,52.928,53.238,17479625,0
1999-07-13,52.984,53.182,52.563,52.984,13933392,0
1999-07-14,53.519,53.992,52.764,53.891,15452515,0
1999-07-15,54.075,54.38,53.775,54.38,14626451,0
1999-07-16,54.414,55.197,54.392,54.887,10989152,0
1999-07-19,55.105,55.105,54.108,54.325,15283007,0
1999-07-20,53.665,53.741,52.093,52.23,33182598,0
1999-07-21,52.338,52.93,51.917,52.477,24559291,0
