Date,Open,High,Low,Close,Volume,OpenInt
2010-03-11,15848,15848,15404,15404,110,0
2010-03-12,15396.8,15729.6,15128.8,15721.6,205,0
2010-03-15,16169.6,16380,16050.4,16291.2,12,0
2010-03-16,15201.6,15201.6,14964,14964,2,0
2010-03-19,15592,15611.2,15592,15611.2,1,0
2010-03-22,15890.4,15890.4,14329.6,14329.6,2,0
2010-03-23,14080.8,14080.8,13629.6,13644.8,31,0
2010-03-24,13626.4,14000.8,13618.4,14000.8,19,0
2010-03-25,13614.4,14203.2,13480.8,14184.8,13,0
2010-03-26,13801.6,14716,13736.8,14460,51,0
2010-03-29,14532.8,14532.8,13951.2,14000.8,3,0
2010-03-30,13932,13932,13932,13932,1,0
2010-03-31,14100,14100,13545.6,13962.4,32,0
2010-04-01,13251.2,14211.2,13088,14031.2,54,0
2010-04-05,12907.2,12907.2,12673.6,12700.8,14,0
2010-04-06,12952.8,13052.8,12757.6,12907.2,25,0
2010-04-07,13090.4,13132,12582.4,12658.4,11,0
2010-04-08,12888,13592,12888,13316,15,0
2010-04-09,13193.6,13193.6,13152,13156,7,0
2010-04-12,12750.4,12750.4,12199.2,12520.8,13,0
2010-04-13,12559.2,12583.2,12280,12280,21,0
2010-04-14,11450.4,11450.4,10643.2,10688.8,58,0
2010-04-15,10632,10769.6,10405.6,10585.6,80,0
2010-04-16,10815.2,11272.8,10815.2,10972,30,0
2010-04-19,11255.2,11984.8,11098.4,11346.4,38,0
2010-04-20,10983.2,11105.6,10836,10841.6,26,0
2010-04-21,10518.4,11492,10518.4,11232,12,0
2010-04-22,11568.8,11874.4,10459.2,10459.2,97,0
2010-04-23,10727.2,10872,10405.6,10405.6,82,0
2010-04-26,10134.4,10440,10130.4,10440,25,0
2010-04-27,10706.4,11472.8,10579.2,11472.8,20,0
2010-04-28,10935.2,11779.2,10860.8,11476.8,30,0
2010-04-29,11648.8,11648.8,10593.6,10830.4,65,0
2010-04-30,11090.4,12318.4,11090.4,12318.4,45,0
2010-05-03,11882.4,11936,11192,11365.6,42,0
2010-05-04,11760,13277.6,11760,12860.8,118,0
2010-05-05,15465.6,15465.6,12669.6,13278.4,106,0
2010-05-06,13519.2,17205.6,10708,14165.6,143,0
2010-05-07,15117.6,16758.4,14324.8,15121.6,230,0
2010-05-10,12983.2,13381.6,12536,12544,79,0
2010-05-11,13240,13293.6,12149.6,12792,437,0
2010-05-12,12452,12452,11660,11660,985,0
2010-05-13,12180.8,12788.8,11580,12624,1265,0
2010-05-14,13316,14460,13316,13771.2,479,0
2010-05-17,14046.4,14536,13049.6,13140,551,0
2010-05-18,12941.6,14402.4,12815.2,14272,295,0
2010-05-19,14548,15033.6,13607.2,14073.6,392,0
2010-05-20,15216.8,15966.4,14344.8,15228.8,80,0
2010-05-21,16211.2,16827.2,13412,14165.6,212,0
2010-05-24,14119.2,14940.8,13773.6,14933.6,77,0
2010-05-25,15576.8,16636,14612.8,14628,125,0
2010-05-26,13901.6,14776.8,13293.6,14696.8,351,0
2010-05-27,13668,13668,12452,12460,422,0
2010-05-28,12547.2,13504,12460,13040.8,130,0
2010-06-01,13492,13942.4,12742.4,13912.8,79,0
2010-06-02,13614.4,13801.6,12417.6,12428.8,105,0
2010-06-03,12398.4,12566.4,11870.4,11970.4,96,0
2010-06-04,12872.8,13652,12229.6,13534.4,245,0
2010-06-07,13216.8,15117.6,13117.6,15006.4,206,0
2010-06-08,14024,16299.2,14024,15175.2,268,0
2010-06-09,14567.2,15687.2,13836,15508,141,0
2010-06-10,14662.4,15075.2,13713.6,13760,156,0
2010-06-11,14344.8,14344.8,13109.6,13171.2,69,0
2010-06-14,12673.6,12941.6,12180.8,12896,93,0
2010-06-15,12620,12620,10669.6,10772.8,407,0
2010-06-16,11094.4,11266.4,10368,10612.8,392,0
2010-06-17,10497.6,11212.8,10402.4,10684.8,190,0
2010-06-18,10753.6,10899.2,10466.4,10761.6,252,0
2010-06-21,11090.4,11220.8,9939.2,11025.6,212,0
2010-06-22,10998.4,11710.4,10551.2,11614.4,247,0
2010-06-23,11474.4,12123.2,11060,11492,264,0
2010-06-24,11782.4,12632.8,11603.2,12531.2,340,0
2010-06-25,12260.8,13167.2,12256.8,12509.6,243,0
2010-06-28,12387.2,12723.2,11912.8,12314.4,94,0
2010-06-29,13002.4,14209.6,13002.4,13962.4,306,0
2010-06-30,14054.4,14735.2,13450.4,14651.2,117,0
2010-07-01,14524.8,15768,14184.8,14578.4,218,0
2010-07-02,14142.4,15446.4,14142.4,14758.4,109,0
2010-07-06,13905.6,15094.4,13588,14780.8,154,0
2010-07-07,14620,14639.2,12456,12520.8,297,0
2010-07-08,12027.2,13121.6,12027.2,12532,258,0
2010-07-09,12551.2,12757.6,12073.6,12096,181,0
2010-07-12,12065.6,12127.2,11572,11702.4,102,0
2010-07-13,11266.4,11478.4,10800,10995.2,241,0
2010-07-14,10578.4,11220.8,10321.6,11044.8,529,0
2010-07-15,11079.2,11744.8,11055.2,11120.8,429,0
2010-07-16,11427.2,12214.4,11304.8,12192.8,214,0
2010-07-19,12016,12088.8,11243.2,11308.8,221,0
2010-07-20,12237.6,12509.6,11247.2,11255.2,392,0
2010-07-21,11029.6,12008,11029.6,11928,202,0
2010-07-22,11465.6,11603.2,10572,10776.8,250,0
2010-07-23,11036.8,11208.8,10540,10616,145,0
2010-07-26,10486.4,10884,10164.8,10188,134,0
2010-07-27,10115.2,10544,10035.2,10436.8,82,0
2010-07-28,10424.8,11120.8,10321.6,10976,175,0
2010-07-29,10972,12046.4,10834.4,11610.4,245,0
2010-07-30,12008,12604.8,11771.2,11970.4,294,0
2010-08-02,11365.6,11832.8,11216.8,11373.6,140,0
2010-08-03,11377.6,11981.6,11362.4,11706.4,143,0
2010-08-04,11603.2,11977.6,11320,11362.4,108,0
2010-08-05,11472.8,11722.4,11255.2,11560.8,95,0
2010-08-06,11939.2,12234.4,11347.2,11628,218,0
2010-08-09,11335.2,11748,11266.4,11408,95,0
2010-08-10,11943.2,12600.8,11943.2,12276,310,0
2010-08-11,13071.2,14080,13071.2,13798.4,316,0
2010-08-12,14716,15201.6,14115.2,14318.4,399,0
2010-08-13,14196,14742.4,13848,14731.2,188,0
2010-08-16,14880.8,15228.8,14153.6,14536,151,0
2010-08-17,14108,14326.4,13529.6,13992.8,153,0
2010-08-18,13947.2,14157.6,13304.8,13511.2,85,0
2010-08-19,13725.6,14379.2,13461.6,14196,166,0
2010-08-20,14084.8,14322.4,13660.8,14035.2,138,0
2010-08-23,14472,15236,14252,15204,174,0
2010-08-24,15836,16268,15468,15948,249,0
2010-08-25,16516,16780,15288,15480,253,0
2010-08-26,15224,16536,15140,16384,286,0
2010-08-27,16108,17200,15192,15372,501,0
2010-08-30,15388,16600,15384,16600,258,0
2010-08-31,16956,17744,16284,17540,264,0
2010-09-01,16656,16748,15344,15956,336,0
2010-09-02,15624,15956,14916,14944,221,0
2010-09-03,14276,14964,13868,14148,320,0
2010-09-07,14288,15076,14204,14984,228,0
2010-09-08,14796,15624,14772,15204,843,0
2010-09-09,14628,15276,14588,15156,176,0
2010-09-10,15168,16380,15088,15768,612,0
2010-09-13,15280,15280,14100,14216,648,0
2010-09-14,14312,14680,13164,13468,664,0
2010-09-15,13748,14080,13504,13612,341,0
2010-09-16,13756,13904,13204,13268,311,0
2010-09-17,13104,13464,13008,13248,166,0
2010-09-20,13268,13640,13004,13072,769,0
2010-09-21,12996,13312,12844,13132,485,0
2010-09-22,13472,14000,13232,13684,613,0
2010-09-23,14208,14360,12716,13428,583,0
2010-09-24,12852,12852,11768,11800,734,0
2010-09-27,11736,12176,11704,12020,475,0
2010-09-28,11996,12368,11376,11428,663,0
2010-09-29,11684,11684,10956,11232,479,0
2010-09-30,11020,11768,10792,11436,575,0
2010-10-01,11308,11816,11100,11560,434,0
2010-10-04,11684,12412,11612,12052,585,0
2010-10-05,11776,11780,11176,11336,396,0
2010-10-06,11316,12048,11260,11776,537,0
2010-10-07,11596,12012,11496,11624,170,0
2010-10-08,11836,12088,11208,11296,510,0
2010-10-11,11200,11244,10744,11032,287,0
2010-10-12,11180,11368,10676,10808,285,0
2010-10-13,10708,11068,10588,10756,395,0
2010-10-14,10720,11016,10532,10844,434,0
2010-10-15,10632,11088,10524,10648,492,0
2010-10-18,10644,11096,10644,10844,398,0
2010-10-19,11340,11600,10728,11288,502,0
2010-10-20,11280,11516,10936,11108,220,0
2010-10-21,11012,11560,10988,11256,398,0
2010-10-22,11228,11228,10524,10612,357,0
2010-10-25,10428,10428,10064,10244,335,0
2010-10-26,10400,10700,10240,10372,288,0
2010-10-27,10336,10344,9400,9412,744,0
2010-10-28,9440,9740,9336,9400,659,0
2010-10-29,9484,9484,9140,9216,402,0
2010-11-01,9132,9512,9024,9312,451,0
2010-11-02,9048,9260,8984,9136,285,0
2010-11-03,9032,9244,8828,8836,377,0
2010-11-04,8588,8588,7988,8012,882,0
2010-11-05,7996,8032,7732,7864,349,0
2010-11-08,7888,7956,7696,7864,199,0
2010-11-09,7804,8204,7804,8108,280,0
2010-11-10,8136,8424,8100,8112,383,0
2010-11-11,8728,8992,8324,8392,664,0
2010-11-12,8508,8660,8012,8408,519,0
2010-11-15,8188,8600,8176,8592,385,0
2010-11-16,8820,9100,8560,8968,519,0
2010-11-17,9000,9088,8672,8984,428,0
2010-11-18,8720,8720,8368,8480,349,0
2010-11-19,8540,8540,8004,8056,359,0
2010-11-22,8056,8108,7752,7764,290,0
2010-11-23,8068,8068,7816,7948,253,0
2010-11-24,7804,7804,7284,7336,351,0
2010-11-26,7500,7516,7360,7460,168,0
2010-11-29,7568,7784,7468,7512,298,0
2010-11-30,7800,7856,7680,7776,167,0
2010-12-01,7404,7404,7008,7036,383,0
2010-12-02,7016,7016,6620,6620,301,0
2010-12-03,6776,6788,6500,6548,330,0
2010-12-06,6520,6712,6520,6568,137,0
2010-12-07,6372,6588,6276,6552,285,0
2010-12-08,6588,6636,6392,6400,260,0
2010-12-09,6300,6412,6252,6360,430,0
2010-12-10,6324,6420,6268,6332,317,0
2010-12-13,6256,6500,6224,6492,359,0
2010-12-14,6180,6384,6124,6332,366,0
2010-12-15,6396,6556,6260,6528,524,0
2010-12-16,6516,6556,6344,6412,152,0
2010-12-17,6408,6408,6236,6280,183,0
2010-12-20,6268,6404,6232,6340,174,0
2010-12-21,6280,6280,6140,6212,189,0
2010-12-22,6248,6388,6188,6200,192,0
2010-12-23,6296,6296,6192,6264,94,0
